id_student,gender,region,highest_education,imd_band,age_band,studied_credits,disability,final_result,score,sum_click,retry_count
30268,0,5,0,4,1,60,1,1,0.0,3.0,0
135335,0,0,2,3,0,180,0,1,0.0,2.0,0
281589,1,5,1,4,0,60,0,0,0.0,2.0,0
292923,0,7,0,10,1,180,0,1,0.0,0.0,0
305539,0,10,2,9,0,120,0,1,0.0,2.0,0
346843,0,6,1,6,1,120,0,0,0.0,4.0,0
354858,1,8,1,10,1,120,0,1,0.0,4.0,0
405961,1,6,0,10,0,240,1,1,0.0,0.0,0
494424,0,4,0,9,0,60,0,0,0.0,2.0,0
1763015,0,6,0,2,1,60,0,1,0.0,14.0,0
2149225,1,6,0,8,1,60,1,1,0.0,3.0,0
2324976,0,6,1,10,1,60,0,1,0.0,0.0,0
2365101,1,7,1,3,0,300,0,1,0.0,0.0,0
2542724,0,11,2,5,0,60,0,1,0.0,3.0,0
2620584,1,11,0,5,0,60,1,0,0.0,3.0,0
111512,1,10,0,5,0,60,0,0,0.0,3.0,0
288994,1,6,0,4,0,120,0,0,0.0,4.0,0
311659,1,0,0,8,0,120,0,0,0.0,2.0,0
323805,0,11,0,3,0,180,0,1,0.0,0.0,0
328734,0,0,0,9,0,180,0,1,0.0,0.0,0
387954,0,8,0,7,1,60,0,1,0.0,5.0,0
488382,0,3,0,2,0,180,0,1,0.0,0.0,0
514526,1,3,2,2,0,120,1,1,0.0,2.0,0
561467,0,8,0,9,0,90,0,1,0.0,3.0,0
567922,0,5,0,6,0,120,0,1,0.0,0.0,0
598070,0,3,0,2,0,60,0,1,0.0,3.0,0
608440,0,8,1,6,1,120,0,1,0.0,3.0,0
623710,0,7,0,3,1,120,0,1,0.0,0.0,0
628312,0,7,1,9,0,120,0,1,0.0,2.0,0
677281,1,10,0,9,0,60,0,0,0.0,2.0,0
1336190,1,3,1,9,2,60,0,0,0.0,4.0,0
1469279,0,0,1,5,1,120,0,1,0.0,0.0,0
1676594,1,3,1,9,2,60,0,1,0.0,4.0,0
2313257,1,3,0,4,1,360,0,1,0.0,2.0,0
2630087,0,1,2,10,1,210,0,1,0.0,2.0,0
34694,1,11,0,2,1,60,0,1,0.0,0.0,1
71433,0,5,0,6,0,150,0,0,0.0,1.0,1
72070,1,7,0,7,1,60,0,1,0.0,0.0,0
79378,0,3,2,3,1,120,1,0,0.0,0.0,1
87604,0,11,0,4,0,180,0,1,0.0,0.0,0
88580,0,3,2,2,0,60,0,1,0.0,0.0,0
96291,0,8,2,8,0,60,0,1,0.0,2.0,0
102849,0,0,0,3,1,180,0,1,0.0,1.0,0
122524,0,10,2,3,0,120,0,0,0.0,0.0,1
123379,0,1,0,8,0,180,0,1,0.0,0.0,1
127209,0,6,0,5,0,180,1,1,0.0,0.0,1
128776,0,12,2,5,1,120,0,1,0.0,2.0,1
133531,0,10,2,4,0,60,0,0,0.0,0.0,0
143854,0,11,2,2,1,60,0,1,0.0,0.0,0
155735,0,11,2,1,0,60,0,1,0.0,3.0,1
171377,0,11,2,7,0,120,0,0,0.0,0.0,1
174321,0,2,0,9,0,270,0,1,0.0,0.0,1
177639,0,10,2,2,0,150,0,1,0.0,2.0,1
185240,0,11,2,5,1,120,0,1,0.0,0.0,1
186780,0,5,0,2,1,120,1,1,0.0,1.0,1
200863,0,9,0,5,0,60,0,1,0.0,3.0,1
203652,0,0,0,3,0,180,1,0,0.0,1.0,0
205231,0,6,2,2,1,60,0,0,0.0,0.0,1
228049,0,8,2,7,1,60,0,1,0.0,2.0,0
228235,0,12,0,4,1,120,0,1,0.0,0.0,1
230348,0,0,0,1,0,585,0,1,0.0,0.0,1
232600,0,5,2,2,0,60,0,1,0.0,0.0,1
232745,0,11,2,1,0,180,1,1,0.0,0.0,0
253250,0,4,0,5,0,60,0,1,0.0,7.0,1
256215,0,0,2,6,1,150,1,1,0.0,0.0,0
