,id_student,gender,region,highest_education,imd_band,age_band,disability,dropout_status
0,11391,1,0,3,10.0,2,0,0
1,28400,0,6,3,3.0,1,0,0
2,30268,0,5,2,4.0,1,1,1
3,31604,0,7,2,6.0,1,0,0
4,32885,0,11,1,6.0,0,0,0
5,38053,1,10,2,9.0,1,0,0
6,45462,1,6,3,4.0,0,0,0
7,45642,0,5,2,10.0,0,0,0
8,52130,0,0,2,8.0,0,0,0
9,57506,1,8,1,8.0,1,0,0
10,58873,0,0,2,3.0,0,0,0
11,59185,1,0,1,7.0,1,0,0
12,62155,0,5,3,6.0,0,0,0
13,63400,1,6,1,5.0,1,0,0
14,65002,0,0,2,8.0,0,0,1
15,70464,0,11,2,7.0,1,0,0
16,74372,1,0,2,2.0,1,0,0
17,75091,1,9,2,4.0,1,0,0
18,77367,1,1,2,4.0,0,0,0
19,91265,1,5,3,1.0,0,0,0
20,94961,1,8,1,8.0,1,0,1
21,98094,1,10,1,8.0,1,0,0
22,100893,1,12,2,3.0,0,0,0
23,101781,1,8,1,9.0,1,0,0
24,102806,1,5,2,4.0,0,0,0
25,102952,1,3,3,7.0,0,0,0
26,106247,1,8,3,9.0,1,0,1
27,106577,1,1,1,3.0,0,0,0
28,110175,1,0,3,9.0,1,0,0
29,111717,0,0,3,10.0,1,0,0
30,113295,1,12,1,7.0,1,0,0
31,114999,1,12,3,7.0,1,0,0
32,116541,1,10,3,1.0,0,0,0
33,116692,1,0,2,8.0,1,0,0
34,118983,1,1,3,4.0,0,0,0
35,123044,1,8,2,5.0,1,0,0
36,127582,0,1,2,5.0,0,0,0
37,129955,1,11,2,6.0,0,0,1
38,132976,0,0,1,9.0,1,0,0
39,134143,0,7,2,10.0,1,0,0
40,135335,0,0,1,3.0,0,0,1
41,135400,0,7,1,10.0,1,1,1
42,137873,1,9,2,5.0,1,0,0
43,141355,0,1,2,4.0,0,0,0
44,141377,1,9,2,10.0,0,0,1
45,142326,0,4,2,6.0,1,0,0
46,144801,0,8,3,9.0,1,0,0
47,145130,1,9,3,7.0,0,0,0
48,146188,0,11,2,3.0,0,1,0
49,147756,1,4,1,7.0,0,0,0
50,147793,0,4,1,9.0,0,0,1
51,148993,0,5,2,4.0,1,1,1
52,151358,0,3,2,9.0,0,0,0
53,155550,1,3,2,1.0,1,0,0
54,155854,0,1,2,3.0,1,0,0
55,155984,0,0,1,8.0,0,0,1
56,157568,0,9,2,10.0,0,0,0
57,159954,1,1,2,5.0,1,0,1
58,164259,1,6,2,8.0,0,0,0
59,167906,0,12,2,5.0,1,0,0
60,168936,0,11,1,2.0,1,0,0
61,174782,1,0,3,10.0,2,0,0
62,175932,1,5,3,8.0,1,0,0
63,175991,0,5,2,9.0,0,0,0
64,180753,1,9,2,4.0,0,0,0
65,181316,0,9,2,9.0,1,0,1
66,183096,0,9,2,7.0,0,0,0
